speed_bits,speed_px
1000,38.56314516581491
3996,312.3663792181272
6992,228.4684754483419
9989,698.6656615330594
15981,1125.8201960596762
18978,1268.6124047471096
21974,1493.7465177175288
27967,1856.2696540428094
30963,1922.468340791438
33959,2254.1446929542963
36956,2470.004936926124
39952,2641.8156108204985
42949,2842.8135321924237
